#,sujeto,genero,edad,edo_civil,carrera,semestre,discapacidad,lengua,esc_proc,prom,ant_aca,gusto,familia,tipo_f,vivienda,desercion
161,3310,0,1,0,3,1,0,1,-1,-1,553,0,0,1,0,False
162,3315,1,1,0,3,0,1,1,0,-1,551,0,0,0,0,False
163,3410,1,1,0,3,0,0,1,-1,-1,580,0,0,0,0,False
164,3411,1,1,0,3,0,0,1,-1,-1,582,0,0,1,0,False
165,3437,0,1,0,3,0,0,1,-1,-1,191,0,0,0,0,False
166,3332,1,1,0,3,0,0,1,-1,-1,563,0,0,0,0,False
167,2228,0,1,0,13,0,0,1,-1,-1,573,0,0,0,0,False
168,3041,0,1,0,3,0,0,1,-1,-1,1441,0,0,0,0,False
169,3329,0,0,0,3,0,0,1,0,-1,584,0,0,0,0,False
170,3450,0,1,0,3,0,0,1,-1,-1,1394,0,0,1,0,False
171,3504,0,1,0,3,0,0,1,-1,-1,595,0,0,1,1,False
172,3301,0,1,0,3,0,0,1,0,-1,148,0,0,1,0,False
173,3492,0,1,0,3,0,0,1,0,-1,1457,0,0,1,0,False
174,3464,0,1,0,2,0,0,1,-1,-1,361,0,0,0,0,False
175,1885,0,1,0,13,0,0,1,-1,-1,1045,0,0,1,0,False
176,2784,0,1,0,13,0,0,1,-1,-1,1013,0,0,0,0,False
177,3506,0,1,0,13,0,0,1,0,-1,1065,0,0,1,0,False
178,2781,0,1,0,13,0,0,1,-1,-1,1354,0,0,1,-1,False
179,3305,0,1,0,3,0,0,1,0,-1,1459,0,0,0,0,False
180,3307,1,1,0,3,1,0,1,-1,-1,1420,0,1,0,2,False
181,3435,0,1,0,3,0,0,1,-1,-1,1454,0,0,1,0,False
182,2214,0,1,0,13,0,0,1,-1,-1,698,0,0,0,0,False
183,2992,0,1,0,3,0,0,1,-1,-1,1272,0,1,2,0,False
184,3606,0,1,0,3,0,0,1,-1,-1,722,0,0,0,0,False
185,3406,0,1,0,13,0,0,1,-1,-1,738,0,0,0,0,False
186,3513,0,1,0,13,0,0,1,-1,-1,1433,0,0,0,0,False
187,3266,0,1,0,2,0,0,1,-1,-1,155,0,0,0,0,False
188,3503,0,1,0,2,0,0,1,-1,-1,478,0,0,2,0,False
189,3184,0,1,0,13,0,0,1,0,-1,1093,0,0,1,0,False
190,2935,0,1,0,13,0,0,1,-1,-1,1085,0,0,0,0,False
191,2995,0,1,0,13,0,0,1,0,-1,1099,0,1,1,0,False
192,2741,1,1,0,13,0,0,1,-1,-1,1361,0,0,0,0,False
193,3282,0,1,0,2,0,0,1,-1,-1,615,0,0,0,0,False
194,3296,0,1,0,2,1,0,1,-1,-1,188,0,0,1,0,True
195,3568,0,1,0,2,0,0,1,-1,-1,205,0,0,0,0,False
196,3572,0,1,0,2,0,0,1,-1,-1,491,0,0,1,0,False
197,3413,0,1,0,2,0,0,1,0,-1,217,0,0,0,0,False
198,3336,0,1,0,2,0,0,1,-1,-1,161,0,0,1,0,False
199,3276,0,1,0,2,0,0,1,-1,-1,454,0,0,0,0,False
200,2993,1,1,0,13,0,0,1,0,-1,1223,1,0,1,0,False
201,2762,0,1,0,13,0,0,1,0,-1,1444,0,0,0,0,False
202,2767,0,1,0,13,0,0,1,0,-1,1439,0,0,1,0,False
203,3525,0,1,0,2,0,0,1,-1,-1,206,1,0,0,0,False
204,2744,1,1,0,13,0,0,1,0,-1,807,0,0,1,0,False
205,2980,0,1,0,13,0,0,1,0,-1,1063,0,0,1,0,False
206,3293,0,1,0,2,0,0,1,-1,-1,1221,0,0,0,0,False
207,3270,0,1,0,2,0,1,1,-1,-1,79,0,0,0,-1,False
208,3279,0,1,0,2,0,0,1,-1,-1,80,0,0,0,0,False
209,3460,0,1,0,2,0,0,1,-1,-1,197,0,0,0,0,False
210,3583,0,1,0,2,0,1,1,-1,-1,228,0,0,0,0,False
211,3271,0,1,0,2,0,0,1,-1,-1,84,0,0,0,0,False
212,3379,1,1,0,2,0,0,1,-1,-1,166,0,0,1,0,False
213,1928,0,1,0,3,0,0,1,0,-1,606,0,0,0,2,False
214,1905,1,1,0,3,0,0,1,-1,-1,623,0,0,0,0,False
215,1763,0,0,0,3,0,0,1,-1,-1,618,0,0,0,0,False
216,864,0,0,0,2,0,1,1,-1,-1,24,0,0,0,0,False
217,3334,0,1,0,3,0,0,1,0,-1,579,0,1,1,0,False
218,3274,1,1,0,2,0,0,1,1,-1,163,0,0,0,0,False
219,3299,1,1,0,2,0,0,1,-1,-1,1064,0,0,1,0,False
220,3076,0,1,0,3,0,0,1,0,-1,845,0,0,0,0,False
221,3515,0,1,0,13,0,0,1,-1,-1,1181,0,0,0,-1,False
222,3285,1,1,0,2,0,0,1,-1,-1,288,0,0,0,0,False
223,3277,0,0,0,2,0,0,1,-1,-1,532,0,0,1,0,False
224,3516,0,1,0,13,1,0,1,-1,-1,1184,0,0,1,0,False
225,3313,0,1,0,3,0,0,1,-1,-1,174,0,0,0,0,False
226,1851,0,1,0,13,0,0,1,-1,-1,1087,0,0,1,-1,False
227,2219,0,1,0,13,0,0,1,0,-1,825,0,0,1,0,False
228,1776,0,1,0,3,0,0,1,0,-1,604,0,0,1,0,False
229,2809,0,1,0,13,0,0,1,0,-1,1088,0,0,0,0,False
230,3769,0,1,0,3,0,0,1,-1,-1,1452,0,0,0,0,False
231,3167,1,1,0,6,0,0,1,-1,-1,887,0,0,1,0,False
232,2303,1,0,-1,1,0,0,1,0,-1,405,0,0,2,0,False
233,2311,1,1,0,1,0,0,1,-1,-1,513,0,0,1,0,False
234,2355,0,1,0,1,0,0,1,-1,-1,504,0,0,0,0,False
235,2317,1,1,0,1,0,0,1,0,-1,1193,0,0,0,2,False
236,2325,1,1,0,1,0,0,1,-1,-1,849,0,0,0,0,False
237,2347,0,1,0,1,0,0,1,-1,-1,914,0,0,0,1,False
238,2297,0,1,0,1,0,0,1,0,-1,387,0,1,2,0,False
